Humidity,PM2.5,Precipitation,Temperature,Wind Speed
57.74,184.27,0.01,66.8,3.83
77.13,153.48,0,64.36,4.23
64.15,57.77,9.8,63.31,5.25
47.16,68.48,0,63.95,4.71
35.67,102.15,0,64.48,4.56
39.77,166.71,0,63.46,3.23
47.57,232.21,0,63.8,3.58
53.85,240.31,0,64.25,3.02
58.11,199.38,0,67.77,3.48
55.56,113.54,0,68.26,5.02
57.34,52.15,0.01,65.68,5.04
43.92,48.62,1,67.55,4.6
37.56,86.48,0,69.27,3.94
38.42,139.58,0,67.59,4.5
47.36,127.27,0,67.4,3.71
48.78,125,0.01,69.88,3.52
50.14,108.44,0,69.91,5.42
78.82,61.48,0.01,61.55,3.35
69.27,53.96,13.3,64.48,5.2
66.92,34,0.3,64.25,5.21
59.23,39.54,7.3,66.84,3.4
55.63,65.79,0,70.25,4.1
66.2,73.29,0.01,64.74,3.75
60.45,27.94,6.7,63.39,5.25
46.06,22.44,0.01,67.51,4.54
42.19,44.81,0,71.34,5.56
43.48,48.94,0,72.46,4.44
43.9,60.48,0,72.24,5.06
44.24,75.25,0,72.35,4.69
48.88,87.58,0,73.1,4.75
73.87,69.08,0,65.04,3.27
69.23,38.75,6.4,66.46,4.15
76.35,37.15,0.2,66.69,4.12
89.23,42.62,12.2,63.12,1.75
79.89,50.19,0.4,67.96,4.1
87.04,42.58,0.01,65.04,4.67
79.54,25.15,1.1,66.39,4.06
77.52,34.77,0.5,67.48,3.09
75.43,38.23,0.7,67.7,2.73
63.15,29.92,0.01,68.56,4.44
64.68,25.77,0.01,68.45,4.5
81.91,35.71,1.2,65.64,3.25
84.2,33.6,0.01,65.9,2.79
87.28,23.42,12.8,64.18,3.08
86.6,18.46,7,63.54,2.15
69.47,22.19,0.2,68.75,5.02
65.49,23.77,0,71.41,4.23
54.24,27.73,0,74.26,5.48
61.31,37.17,0,74.64,4.3
70.46,44.42,0.01,73.18,4
87.4,42.71,0.01,69.16,1.9
94.74,24.48,6.6,67.4,3.12
78,13.48,5.5,73.36,4.52
71.93,16.15,0,75.73,5.42
71.01,15.73,0.01,77.04,4.48
68.43,20.6,0,76.14,3.96
83.78,20.67,0.3,71.49,3.44
97.17,5.31,7.3,68.11,2.92
97.64,5.54,30.2,68.45,2.1
95.74,5.25,7.5,66.2,6.6
85.48,9.9,35.8,70.85,4.98
83.39,24.17,0.3,72.73,2.9
78.64,21.46,17.4,74.19,4.9
70.99,68.69,0,58.36,4.17
67.33,76.25,0,58.59,4.66
68.91,55.6,0,59.43,4.85
57.51,52.54,0,60.2,4.19
63.17,52.02,0,60.46,4.29
69.06,58.21,0,62.26,3.58
63.35,68.75,0,64.74,3.88
55.12,58.02,0,65.41,3.96
57.23,54.6,0,65.45,4.17
65.29,56.42,0,65.19,4.96
62.22,59.04,0,64.74,4.19
62.11,57.65,0,65.52,4.52
59.47,59.56,0,66.65,3.94
59.49,58.35,0,68.75,3.81
63.05,64.71,0,69.58,4.88
70.4,67.29,1.3,68.75,4.35
64.41,65.67,2.3,69.88,3.98
59.14,68.96,0,71.11,3.96
55.04,68.4,0,71,4.67
58.46,65.25,0,71.05,4.3
61.49,74.27,0,69.38,4.92
64.74,69.06,0,68.79,4.29
62.24,69.21,0,68.75,4.83
61.28,64.92,0.2,68.42,4.31
49.08,63.02,0.2,69.02,5.83
43.67,64.25,0,68.34,4.5
53.99,82.58,0,69.16,4.92
64.38,113.73,0,69.09,4.94
74.53,100.98,0.005,68.75,4.58
82.48,93.02,0.005,68.82,3.96
77.3,77.02,0.005,69.58,4.48
79.9,79.33,0,70.21,3.69
77.42,88.56,0,72.05,5.06
