PM2.5,Humidity,Precipitation,Temperature,Wind Speed
78.98,66.13,0,53.3,3.67
93.52,63.21,0,54.72,3.58
89.06,58.84,0,54.95,4.12
90.02,70.33,0,53.49,3.23
96.29,79.42,0,51.99,3.67
102.27,77.27,0,51.84,3.75
91.58,79.6,0,51.76,3.38
99.69,80.55,0,52.14,3.48
83.42,73.06,0,53.52,3.85
81.56,73.46,0,53.52,2.62
86.85,71.08,0,54.76,3.38
71.94,70.76,0,52.74,3.46
77.06,73.3,0,51.05,3.94
82.02,69.29,0,49.92,3.35
94.27,75.55,0,50,3.5
96.54,76.71,0,51.46,3.58
82.27,75.52,0,51.05,3.88
83.02,72.88,0,50.11,3.33
80.71,68.8,0,50.19,3.15
79.71,82.68,0,43.92,2.88
88.25,66.07,0,49.92,3.35
80.98,65.57,0,50.08,4.02
67.29,62.97,0,48.72,3.69
69.52,65.6,0,48.69,4.29
78.38,66.5,0,49.06,3.42
86.19,64.24,0,50.94,3.6
90.29,64.77,0,52.4,3.33
82.42,61.07,0,52.96,3.62
87.92,67.67,0,51.69,4.35
57.67,78.87,0.1,47.38,4.06
50.9,67.79,1.2,49.06,3.23
85.25,59.77,0,53.45,3.02
86.83,67.64,0,55.29,3.6
91.42,75.29,0,54.5,3.69
82.94,75.85,0,55.89,3.08
96.56,74.59,0,56.3,3.35
97.88,75.4,0,56.9,3.35
96.1,74.4,0,57.54,3.77
96.48,74.3,0,56.86,4.39
73.88,70.99,0,56.41,3.68
72.67,62.79,0,55.66,4.04
56.27,64.52,0.01,53.98,3.3
48.6,61.15,0.01,55.18,3.71
51.92,59.94,0.01,57.05,3.31
68.79,60.22,0,58.62,3.5
80.12,68.2,0,59.52,3.44
92.65,68.34,0,60.69,3.92
94.62,70.11,0,60.95,4.04
109.92,76.2,0,61.18,3.4
112.31,75.8,0,62.49,4.17
102.5,70.44,0.01,64.21,4.31
85.12,65.29,0,64.25,4
58.25,69.88,0,57.12,2.73
55.71,67.19,0,59.22,3.04
49.73,79.04,0.01,58.48,2.58
50.42,85,2,58.14,2.62
33.12,78.67,0,60.33,2.53
46.67,93.98,0,52.69,1.5
43.77,73.68,0,56.49,3.66
51.9,72.16,0,55.29,3.06
53.67,72.28,0,55.51,2.5
54.71,76.08,0,53.71,3.46
60.1,72.68,0,53.22,2.75
59.94,72.2,0,51.42,2.69
65.19,67.16,0,52.06,2.54
70.85,71.06,0,51.91,3.06
70.44,74.19,0,49.92,2.96
77,67.14,0,49.92,2.88
82.19,63.7,0,50.04,3.54
86.58,70.82,0,49.4,2.77
63.92,73.77,0,49.18,3.43
75.33,72.99,0,48.56,3.42
75.38,69.78,0,49.7,3.17
75.29,72.63,0,49.14,2.92
80.81,71.6,0,49.21,3.44
81.21,77.17,0,50.04,2.84
83.33,79.92,0,49.18,3.42
79.12,76.5,0,50.11,2.54
81.08,77.62,0,49.4,3.33
105.31,79.05,0,50.64,2.9
54.73,99.59,10.7,45.05,2.02
74.23,90.76,35,46.89,1.83
106.44,85.3,0,46.89,2.65
92.65,80.68,0,49.1,2.71
82.9,77.9,0,50.64,2.44
89.04,77.16,0,50.68,2.56
89,76.74,0,51.01,2.94
88.08,81.8,0,52.32,2.75
67.69,76.38,0,55.44,3.88
61.31,79.84,0,54.69,2.41
73.67,77.5,0,54.99,2.79
66.98,77.76,0.005,54.76,3.33
69.54,77.25,0,55.06,2.92
66.1,77.77,0.005,54.16,2.98
63.19,78.51,2.2,50.94,3.96
41.4,80.04,1.5,49.92,3.04
68.04,83,0,49.92,2.67
71.56,81.71,0,49.51,3.5
68.98,78.51,0,50.56,2.88
79.77,77.94,0,51.2,3.04
71.96,69.92,0,51.95,3.33
56.83,69.28,0,52.4,3.54
60.58,84.13,0.105,49.06,1.92
57.83,85.38,1.75,48.24,3.25
74.58,84.13,0.55,49.14,2.46
